Artichokes,"4,5,6,7,8,9,10,11"
Arugula,"3,4,5,6,7,8,9,10,11"
Asparagus,"4,5,6,7,8,9"
Beets,"2,3,4,5,6,7,8,9,10"
Bell Peppers,"4,5,6,7,8,9,10,11"
Broccoli,"3,4,5,6,7,8,9,10"
Brussels Sprouts,"2,3,4,5,6,7,8,9"
Cabbage,"1,2,3,4,5,6,7,8,9"
Carrots,"3,4,5,6,7,8,9,10"
Celery,"2,3,4,5,6,7,8,9,10"
Corn,"4,5,6,7,8"
Cucumbers,"4,5,6,7,8,9,10,11"
Edamame,"3,4,5,6,7,8,9"
Eggplants,"4,5,6,7,8,9,10"
Garlic,"3,4,5,6,7,8"
Green Beans,"3,4,5,6,7,8,9,10"
Horseradish,"3,4,5,6,7,8"
Jalapeño Peppers,"5,6,7,8,9,10,11"
Kale,"2,3,4,5,6,7,8"
Kohlrabi,"3,4,5,6,7,8,9"
Lettuce,"4,5,6,7,8,9"
Okra,"6,7,8,9,10,11"
Onions,"3,4,5,6,7,8,9"
Parsnips,"2,3,4,5,6,7,8,9"
Peas,"2,3,4,5,6,7,8,9"
Potatoes,"1,2,3,4,5,6,7"
Pumpkins,"3,4,5,6,7,8,9"
Radishes,"2,3,4,5,6,7,8,9,10"
Rutabagas,"3,4,5,6,7,8,9"
Spinach,"2,3,4,5,6,7,8,9"
Sweet Potatoes,"3,4,5,6,7,8,9,10,11"
Swiss Chard,"3,4,5,6,7,8,9,10"
Tomatoes,"4,5,6,7,8,9,10,11"
Turnips,"2,3,4,5,6,7,8,9"
Winter Squash,"3,4,5,6,7,8,9"
Zucchini,"3,4,5,6,7,8,9"
Apples,"3,4,5,6,7,8"
Blackberries,"4,5,6,7,8,9,10"
Blueberries,"3,4,5,6,7,8,9"
Cantaloupes,"5,6,7,8,9,10,11"
Cherries,"4,5,6,7"
Figs,"8,9,10,11"
Grapes,"2,3,4,5,6,7,8,9,10"
Kiwifruit,"3,4,5,6,7,8,9"
Lemons & Oranges,"8,9,10"
Peaches,"4,5,6,7,8,9"
Pears,"3,4,5,6,7,8,9,10"
Plums,"3,4,5,6,7,8,9"
Raspberries,"2,3,4,5,6,7,8"
Strawberries,"2,3,4,5,6,7,8,9,10"
Watermelons,"3,4,5,6,7,8,9,10,11"
Basil,"5,6,7,8,9,10"
Chives,"3,4,5,6,7,8,9"
Dill,"2,3,4,5,6,7,8,9"
Lavender,"5,6,7,8,9"
Rosemary,"7,8,9,10,11"
Sage,"4,5,6,7,8,9,10"
Thyme,"5,6,7,8,9"
Amaryllis,"8,9,10"
Crocuses,"3,4,5,6,7,8"
Daffodils,"3,4,5,6,7,8,9"
Hyacinth and Muscari,"3,4,5,6,7,8,9"
Tulips,"3,4,5,6,7,8"
Asters,"3,4,5,6,7,8"
Astilbe,"3,4,5,6,7,8,9"
Bee Balm,"3,4,5,6,7,8,9"
Black-eyed Susans,"3,4,5,6,7,8,9"
Bleeding Heart,"3,4,5,6,7,8,9"
Cannas,"7,8,9,10,11"
Chrysanthemums,"4,5,6,7,8,9"
Columbine,"3,4,5,6,7,8,9"
Coneflowers,"3,4,5,6,7,8,9"
Dahlias,"7,8,9,10"
Daylilies,"4,5,6,7,8,9"
Delphiniums,"3,4,5,6,7"
Foxglove,"4,5,6,7,8,9"
Gladiolus,"8,9,10,11"
Impatiens,"10,11"
Irises,"3,4,5,6,7,8,9"
Lilies,"4,5,6,7,8,9"
Lily of the Valley,"3,4,5,6,7"
Lupines,"3,4,5,6,7"
Marigolds,"3,4,5,6,7,8,9,10,11"
Morning Glories,"3,4,5,6,7,8,9,10"
Pansies,"2,3,4,5,6,7,8,9"
Peonies,"3,4,5,6,7,8"
Phlox,"2,3,4,5,6,7,8,9"
Salvia,"5,6,7,8,9,10"
Sedum,"3,4,5,6,7,8,9,10"
Shasta Daisies,"4,5,6,7,8,9"
Sunflowers,"2,3,4,5,6,7,8,9,10,11"
Veronica (Speedwell),"3,4,5,6,7,8,9,10,11"
Yarrow,"3,4,5,6,7,8,9"
Zinnias,"3,4,5,6,7,8,9,10"
Coleus,"10,11"
Elephant Ears,"7,8,9,10,11"
Hostas,"3,4,5,6,7,8,9"
Butterfly Bush,"5,6,7,8,9,10"
Clematis,"4,5,6,7,8"
Forsythia,"3,4,5,6,7,8"
Gardenias,"7,8,9,10,11"
Hibiscus,"5,6,7,8,9"
Hops,"4,5,6,7,8,9"
Hydrangeas,"3,4,5,6,7,8,9"
Lilacs,"2,3,4,5,6,7"
Rhododendrons and Azaleas,"3,4,5,6,7,8,9"
Wisteria,"4,5,6,7,8,9"
Arborvitae,"3,4,5,6,7,8"
Air Plants,"9,10,11"
Aloe Vera,"10,11"
Bird of Paradise,"9,10,11"
Christmas Cactus,"10,11"
Croton,"9,10,11"
Geraniums,"10,11"
Jade Plants,"10,11"
Jasmine,"7,8,9,10"
Peace Lilies,"10,11"
Ponytail Palms,"9,10,11"
Snake Plants,"8,9,10"